#,Diapositiva,Puntos clave (bullets para la slide),Notas del presentador / visual sugerido
1,Portada,"Plataforma Coder + Claude Code gobernada por rol | Equipo DevSecOps - Qintess | Julio 2026","Logo del banco + Qintess. Subtítulo: 'Entornos de desarrollo con IA, seguros y auditables'."
2,El problema,"IA generativa sin gobierno = riesgo en banca | Sin trazabilidad de qué hace la IA | Entornos inconsistentes ('en mi máquina sí funciona') | Onboarding lento","Enmarcar como riesgo + costo. Una imagen de 'caos vs. orden'."
3,La propuesta de valor,"Cada persona: 1 login -> entorno con IA ajustado a su rol | La IA solo hace lo que el rol permite | Todo queda auditado | Entornos reproducibles y efímeros","Tres íconos: Gobierno / Trazabilidad / Productividad."
4,Cómo funciona (1 diagrama),"Operador -> login corporativo -> Coder detecta rol -> workspace en navegador con VS Code + Claude + skills del rol","Usar el diagrama de arquitectura del doc ejecutivo (Sección 4)."
5,Los 3 roles,"Developer: implementación, code review, frontend | QA: pruebas, cobertura, mutación, Playwright | Architect: arquitectura, specs, no-funcionales de banca","Tabla de 3 columnas. Resaltar que las herramientas cambian solas por rol."
6,Gobierno por rol (RBAC),"Least-privilege: gana el rol menos permisivo | Accesos por identidad del usuario | Bajas/degradaciones se aplican de inmediato (sin accesos residuales)","Punto fuerte para auditoría/riesgo. Mencionar política asimétrica alta vs baja."
7,YA FUNCIONA - piloto validado,"3 roles detectados automáticamente (cuentas reales) | GitHub + Jira + Confluence + Playwright conectados por usuario | Persistencia tras reinicios | Config central para cambiar de cliente","Slide más importante. Checklist verde. 'No es teoría, está funcionando.'"
8,Prueba de aislamiento,"Mismo template, dos usuarios | Usuario A ve sus 90 repos | Usuario B (acceso limitado) ve 0 | La IA nunca excede el acceso de la persona","Demo en vivo o screenshot. Es el argumento que más convence a seguridad."
9,Del piloto a producción,"Piloto: Docker, 1 servidor (hoy) | Producción: misma arquitectura sobre Kubernetes + IdP del banco | Diseño de producción ya preparado (prod-oidc)","Mostrar que el salto es de escala, no de rediseño."
10,Roadmap ~8 semanas,"F1 Deploy + imagen | F2 Login + roles | F3 Overlays + red | F4 5 early adopters | F5-6 Feedback | F7 Squad completo | F8 Métricas","Timeline horizontal de 8 semanas."
11,Riesgos y mitigaciones,"Caída de IdP -> acceso admin emergencia | Costos IA -> presupuesto + auto-apagado | Fuga de permisos -> reconstrucción automática | Fuga de red -> deny-all por defecto","Tabla riesgo -> mitigación. Transmite madurez."
12,Métricas de éxito (KPIs),"Tasa de adopción | Costo por usuario/día | Violaciones de gobierno -> 0 | Tiempo de onboarding","Cómo mediremos el valor. Loki/Grafana como respaldo."
13,Qué pedimos,"Validar la visión y el enfoque de gobierno | Sponsor para pasar piloto -> producción | Definir 5 early adopters","Cierre con llamado a la acción claro."
14,Anexo técnico,"14 documentos TO-BE + runbooks operativos disponibles | Terraform, Cilium, OAuth por usuario, gestión de secretos","Backup para preguntas de ingeniería."
